url,property_type,category,origin
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe30628,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe30629,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe30637,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe30643,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe30647,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe30655,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe30657,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe30659,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe30721,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe30785,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe30818,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe30882,apartment,apartment,search
